"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Apr 2014","1","120.06","5108.146"
"USEP","01 Apr 2014","2","119.21","5006.435"
"USEP","01 Apr 2014","3","119.00","4942.367"
"USEP","01 Apr 2014","4","118.62","4859.929"
"USEP","01 Apr 2014","5","117.60","4821.541"
"USEP","01 Apr 2014","6","117.57","4780.454"
"USEP","01 Apr 2014","7","114.79","4718.692"
"USEP","01 Apr 2014","8","115.28","4684.454"
"USEP","01 Apr 2014","9","114.94","4674.514"
"USEP","01 Apr 2014","10","115.25","4689.980"
"USEP","01 Apr 2014","11","116.64","4766.727"
"USEP","01 Apr 2014","12","118.68","4905.718"
"USEP","01 Apr 2014","13","119.06","5043.959"
"USEP","01 Apr 2014","14","120.02","5188.869"
"USEP","01 Apr 2014","15","119.37","5357.923"
"USEP","01 Apr 2014","16","120.27","5618.153"
"USEP","01 Apr 2014","17","124.62","5864.153"
"USEP","01 Apr 2014","18","135.58","6088.856"
"USEP","01 Apr 2014","19","142.50","6217.445"
"USEP","01 Apr 2014","20","151.81","6317.312"
"USEP","01 Apr 2014","21","174.30","6389.188"
"USEP","01 Apr 2014","22","160.81","6403.741"
"USEP","01 Apr 2014","23","154.19","6369.567"
"USEP","01 Apr 2014","24","139.62","6278.174"
"USEP","01 Apr 2014","25","136.89","6238.105"
"USEP","01 Apr 2014","26","139.65","6274.083"
"USEP","01 Apr 2014","27","147.91","6330.736"
"USEP","01 Apr 2014","28","151.79","6371.878"
"USEP","01 Apr 2014","29","158.11","6397.215"
"USEP","01 Apr 2014","30","159.62","6400.515"
"USEP","01 Apr 2014","31","159.65","6402.767"
"USEP","01 Apr 2014","32","166.29","6417.995"
"USEP","01 Apr 2014","33","158.13","6398.751"
"USEP","01 Apr 2014","34","143.06","6329.315"
"USEP","01 Apr 2014","35","137.73","6316.726"
"USEP","01 Apr 2014","36","134.01","6212.649"
"USEP","01 Apr 2014","37","127.69","6085.636"
"USEP","01 Apr 2014","38","127.72","6083.215"
"USEP","01 Apr 2014","39","134.08","6091.575"
"USEP","01 Apr 2014","40","134.71","6084.557"
"USEP","01 Apr 2014","41","133.87","6059.707"
"USEP","01 Apr 2014","42","150.82","6004.023"
"USEP","01 Apr 2014","43","154.77","5934.642"
"USEP","01 Apr 2014","44","153.20","5828.528"
"USEP","01 Apr 2014","45","122.76","5688.513"
"USEP","01 Apr 2014","46","120.34","5569.233"
"USEP","01 Apr 2014","47","120.16","5434.655"
"USEP","01 Apr 2014","48","119.34","5300.555"
"USEP","02 Apr 2014","1","121.88","5170.211"
"USEP","02 Apr 2014","2","119.35","5027.235"
"USEP","02 Apr 2014","3","119.01","4905.559"
"USEP","02 Apr 2014","4","118.07","4793.485"
"USEP","02 Apr 2014","5","118.22","4766.633"
"USEP","02 Apr 2014","6","118.05","4760.683"
"USEP","02 Apr 2014","7","117.53","4710.675"
"USEP","02 Apr 2014","8","117.52","4696.014"
"USEP","02 Apr 2014","9","117.49","4690.795"
"USEP","02 Apr 2014","10","117.52","4713.662"
"USEP","02 Apr 2014","11","118.06","4800.170"
"USEP","02 Apr 2014","12","119.19","4937.968"
"USEP","02 Apr 2014","13","119.36","5094.762"
"USEP","02 Apr 2014","14","121.19","5221.184"
"USEP","02 Apr 2014","15","119.30","5393.772"
"USEP","02 Apr 2014","16","121.83","5648.723"
"USEP","02 Apr 2014","17","126.67","5907.188"
"USEP","02 Apr 2014","18","135.07","6119.849"
"USEP","02 Apr 2014","19","142.52","6214.493"
"USEP","02 Apr 2014","20","143.08","6285.142"
"USEP","02 Apr 2014","21","154.18","6351.566"
"USEP","02 Apr 2014","22","170.51","6404.586"
"USEP","02 Apr 2014","23","158.16","6419.630"
"USEP","02 Apr 2014","24","149.45","6377.295"
"USEP","02 Apr 2014","25","134.03","6337.312"
"USEP","02 Apr 2014","26","135.04","6366.610"
"USEP","02 Apr 2014","27","170.49","6444.793"
"USEP","02 Apr 2014","28","190.31","6480.264"
"USEP","02 Apr 2014","29","190.31","6480.602"
"USEP","02 Apr 2014","30","191.89","6502.693"
"USEP","02 Apr 2014","31","193.93","6506.749"
"USEP","02 Apr 2014","32","196.90","6510.337"
"USEP","02 Apr 2014","33","193.91","6504.855"
"USEP","02 Apr 2014","34","170.53","6460.259"
"USEP","02 Apr 2014","35","142.57","6369.597"
"USEP","02 Apr 2014","36","126.92","6219.065"
"USEP","02 Apr 2014","37","124.80","6102.747"
"USEP","02 Apr 2014","38","124.86","6110.650"
"USEP","02 Apr 2014","39","133.07","6140.321"
"USEP","02 Apr 2014","40","133.09","6123.756"
"USEP","02 Apr 2014","41","125.04","6083.866"
"USEP","02 Apr 2014","42","133.06","6024.624"
"USEP","02 Apr 2014","43","133.83","5950.889"
"USEP","02 Apr 2014","44","134.00","5824.413"
"USEP","02 Apr 2014","45","121.92","5673.106"
"USEP","02 Apr 2014","46","119.95","5539.443"
"USEP","02 Apr 2014","47","119.88","5423.587"
"USEP","02 Apr 2014","48","119.11","5306.365"
"USEP","03 Apr 2014","1","121.24","5201.175"
"USEP","03 Apr 2014","2","120.35","5103.002"
"USEP","03 Apr 2014","3","119.97","5005.153"
"USEP","03 Apr 2014","4","119.85","4936.110"
"USEP","03 Apr 2014","5","118.95","4883.000"
"USEP","03 Apr 2014","6","118.85","4839.687"
"USEP","03 Apr 2014","7","118.68","4802.526"
"USEP","03 Apr 2014","8","117.61","4754.198"
"USEP","03 Apr 2014","9","117.53","4718.717"
"USEP","03 Apr 2014","10","117.61","4726.410"
"USEP","03 Apr 2014","11","118.75","4809.921"
"USEP","03 Apr 2014","12","119.83","4955.120"
"USEP","03 Apr 2014","13","120.10","5134.736"
"USEP","03 Apr 2014","14","120.96","5274.885"
"USEP","03 Apr 2014","15","120.06","5437.717"
"USEP","03 Apr 2014","16","120.34","5696.261"
"USEP","03 Apr 2014","17","126.81","5976.828"
"USEP","03 Apr 2014","18","133.03","6177.476"
"USEP","03 Apr 2014","19","135.06","6305.593"
"USEP","03 Apr 2014","20","150.83","6384.407"
"USEP","03 Apr 2014","21","171.47","6444.838"
"USEP","03 Apr 2014","22","190.32","6491.511"
"USEP","03 Apr 2014","23","193.17","6500.029"
"USEP","03 Apr 2014","24","168.61","6458.063"
"USEP","03 Apr 2014","25","154.63","6415.713"
"USEP","03 Apr 2014","26","165.64","6436.314"
"USEP","03 Apr 2014","27","180.64","6488.986"
"USEP","03 Apr 2014","28","193.15","6516.102"
"USEP","03 Apr 2014","29","193.15","6521.077"
"USEP","03 Apr 2014","30","190.32","6502.057"
"USEP","03 Apr 2014","31","190.32","6500.959"
"USEP","03 Apr 2014","32","193.17","6524.760"
"USEP","03 Apr 2014","33","196.89","6548.069"
"USEP","03 Apr 2014","34","193.15","6537.021"
"USEP","03 Apr 2014","35","168.60","6464.489"
"USEP","03 Apr 2014","36","142.57","6317.705"
"USEP","03 Apr 2014","37","133.02","6186.010"
"USEP","03 Apr 2014","38","124.98","6150.291"
"USEP","03 Apr 2014","39","124.81","6131.419"
