"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Aug 2014","1","148.37","5030.440"
"USEP","01 Aug 2014","2","126.94","4924.023"
"USEP","01 Aug 2014","3","126.73","4842.405"
"USEP","01 Aug 2014","4","119.66","4785.220"
"USEP","01 Aug 2014","5","117.72","4739.367"
"USEP","01 Aug 2014","6","115.56","4693.683"
"USEP","01 Aug 2014","7","113.89","4659.822"
"USEP","01 Aug 2014","8","110.56","4639.316"
"USEP","01 Aug 2014","9","110.56","4634.038"
"USEP","01 Aug 2014","10","113.04","4656.438"
"USEP","01 Aug 2014","11","115.70","4718.289"
"USEP","01 Aug 2014","12","121.64","4833.449"
"USEP","01 Aug 2014","13","131.73","4975.467"
"USEP","01 Aug 2014","14","148.36","5094.792"
"USEP","01 Aug 2014","15","117.79","5270.481"
"USEP","01 Aug 2014","16","121.66","5562.175"
"USEP","01 Aug 2014","17","138.93","5859.988"
"USEP","01 Aug 2014","18","121.47","6064.742"
"USEP","01 Aug 2014","19","125.50","6194.851"
"USEP","01 Aug 2014","20","129.27","6283.158"
"USEP","01 Aug 2014","21","143.04","6356.734"
"USEP","01 Aug 2014","22","145.66","6398.060"
"USEP","01 Aug 2014","23","145.67","6392.076"
"USEP","01 Aug 2014","24","132.19","6341.655"
"USEP","01 Aug 2014","25","126.56","6295.991"
"USEP","01 Aug 2014","26","130.56","6312.884"
"USEP","01 Aug 2014","27","139.43","6368.409"
"USEP","01 Aug 2014","28","145.66","6406.881"
"USEP","01 Aug 2014","29","145.66","6417.875"
"USEP","01 Aug 2014","30","145.66","6410.862"
"USEP","01 Aug 2014","31","147.50","6412.458"
"USEP","01 Aug 2014","32","147.49","6414.625"
"USEP","01 Aug 2014","33","145.64","6396.708"
"USEP","01 Aug 2014","34","139.22","6352.177"
"USEP","01 Aug 2014","35","125.41","6265.291"
"USEP","01 Aug 2014","36","119.93","6127.796"
"USEP","01 Aug 2014","37","117.96","6033.445"
"USEP","01 Aug 2014","38","118.77","6034.653"
"USEP","01 Aug 2014","39","121.77","6031.418"
"USEP","01 Aug 2014","40","121.56","5987.930"
"USEP","01 Aug 2014","41","119.68","5931.118"
"USEP","01 Aug 2014","42","125.76","5874.932"
"USEP","01 Aug 2014","43","125.30","5805.168"
"USEP","01 Aug 2014","44","119.75","5703.492"
"USEP","01 Aug 2014","45","118.48","5591.449"
"USEP","01 Aug 2014","46","115.94","5487.451"
"USEP","01 Aug 2014","47","118.33","5388.141"
"USEP","01 Aug 2014","48","116.13","5349.226"
"USEP","02 Aug 2014","1","132.20","5311.071"
"USEP","02 Aug 2014","2","126.07","5214.081"
"USEP","02 Aug 2014","3","122.09","5108.449"
"USEP","02 Aug 2014","4","119.48","5010.704"
"USEP","02 Aug 2014","5","119.24","4932.123"
"USEP","02 Aug 2014","6","118.22","4869.586"
"USEP","02 Aug 2014","7","118.07","4821.158"
"USEP","02 Aug 2014","8","115.08","4775.548"
"USEP","02 Aug 2014","9","113.32","4741.673"
"USEP","02 Aug 2014","10","113.28","4727.986"
"USEP","02 Aug 2014","11","113.32","4751.533"
"USEP","02 Aug 2014","12","115.91","4803.316"
"USEP","02 Aug 2014","13","116.03","4855.138"
"USEP","02 Aug 2014","14","118.01","4883.740"
"USEP","02 Aug 2014","15","116.10","4951.929"
"USEP","02 Aug 2014","16","119.27","5133.036"
"USEP","02 Aug 2014","17","119.35","5354.096"
"USEP","02 Aug 2014","18","120.42","5541.097"
"USEP","02 Aug 2014","19","121.39","5681.520"
"USEP","02 Aug 2014","20","121.69","5794.766"
"USEP","02 Aug 2014","21","122.54","5887.129"
"USEP","02 Aug 2014","22","123.90","5937.221"
"USEP","02 Aug 2014","23","122.94","5935.934"
"USEP","02 Aug 2014","24","122.62","5895.091"
"USEP","02 Aug 2014","25","123.89","5843.706"
"USEP","02 Aug 2014","26","143.75","5807.673"
"USEP","02 Aug 2014","27","134.20","5785.050"
"USEP","02 Aug 2014","28","148.51","5772.347"
"USEP","02 Aug 2014","29","142.16","5753.868"
"USEP","02 Aug 2014","30","122.67","5721.051"
"USEP","02 Aug 2014","31","120.66","5687.429"
"USEP","02 Aug 2014","32","120.66","5659.403"
"USEP","02 Aug 2014","33","120.60","5623.435"
"USEP","02 Aug 2014","34","120.25","5572.965"
"USEP","02 Aug 2014","35","120.15","5534.671"
"USEP","02 Aug 2014","36","120.14","5510.423"
"USEP","02 Aug 2014","37","120.14","5534.597"
"USEP","02 Aug 2014","38","120.23","5616.453"
"USEP","02 Aug 2014","39","120.61","5677.539"
"USEP","02 Aug 2014","40","149.51","5672.514"
"USEP","02 Aug 2014","41","150.54","5660.338"
"USEP","02 Aug 2014","42","151.57","5657.172"
"USEP","02 Aug 2014","43","151.56","5641.661"
"USEP","02 Aug 2014","44","149.58","5583.382"
"USEP","02 Aug 2014","45","146.33","5500.358"
"USEP","02 Aug 2014","46","133.11","5425.978"
"USEP","02 Aug 2014","47","137.01","5348.669"
"USEP","02 Aug 2014","48","154.06","5243.931"
"USEP","03 Aug 2014","1","158.75","5132.052"
"USEP","03 Aug 2014","2","153.10","5045.852"
"USEP","03 Aug 2014","3","151.52","4961.561"
"USEP","03 Aug 2014","4","149.48","4890.341"
"USEP","03 Aug 2014","5","139.00","4834.945"
"USEP","03 Aug 2014","6","130.45","4788.252"
"USEP","03 Aug 2014","7","122.37","4744.576"
"USEP","03 Aug 2014","8","125.18","4714.955"
"USEP","03 Aug 2014","9","148.24","4687.217"
"USEP","03 Aug 2014","10","148.24","4679.140"
"USEP","03 Aug 2014","11","146.62","4683.057"
"USEP","03 Aug 2014","12","148.24","4714.467"
"USEP","03 Aug 2014","13","144.04","4746.574"
"USEP","03 Aug 2014","14","128.80","4745.416"
"USEP","03 Aug 2014","15","123.70","4748.094"
"USEP","03 Aug 2014","16","125.19","4829.175"
"USEP","03 Aug 2014","17","127.52","4963.380"
