"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Dec 2014","1","125.04","4833.211"
"USEP","01 Dec 2014","2","119.66","4721.649"
"USEP","01 Dec 2014","3","97.34","4610.883"
"USEP","01 Dec 2014","4","96.13","4542.933"
"USEP","01 Dec 2014","5","96.13","4485.659"
"USEP","01 Dec 2014","6","90.96","4431.048"
"USEP","01 Dec 2014","7","87.96","4402.173"
"USEP","01 Dec 2014","8","87.54","4387.382"
"USEP","01 Dec 2014","9","87.95","4394.981"
"USEP","01 Dec 2014","10","89.93","4415.711"
"USEP","01 Dec 2014","11","96.13","4490.967"
"USEP","01 Dec 2014","12","97.38","4611.787"
"USEP","01 Dec 2014","13","99.44","4757.672"
"USEP","01 Dec 2014","14","102.56","4897.602"
"USEP","01 Dec 2014","15","97.20","5088.579"
"USEP","01 Dec 2014","16","97.51","5388.946"
"USEP","01 Dec 2014","17","98.53","5690.923"
"USEP","01 Dec 2014","18","98.44","5905.980"
"USEP","01 Dec 2014","19","98.49","6021.881"
"USEP","01 Dec 2014","20","98.11","6090.044"
"USEP","01 Dec 2014","21","98.44","6161.403"
"USEP","01 Dec 2014","22","98.64","6199.797"
"USEP","01 Dec 2014","23","91.12","6192.212"
"USEP","01 Dec 2014","24","90.94","6143.740"
"USEP","01 Dec 2014","25","90.69","6082.599"
"USEP","01 Dec 2014","26","90.70","6070.055"
"USEP","01 Dec 2014","27","90.72","6105.640"
"USEP","01 Dec 2014","28","90.95","6151.478"
"USEP","01 Dec 2014","29","91.01","6178.858"
"USEP","01 Dec 2014","30","90.97","6165.504"
"USEP","01 Dec 2014","31","89.61","6163.029"
"USEP","01 Dec 2014","32","89.64","6171.115"
"USEP","01 Dec 2014","33","89.61","6168.416"
"USEP","01 Dec 2014","34","89.60","6147.189"
"USEP","01 Dec 2014","35","87.55","6068.479"
"USEP","01 Dec 2014","36","85.43","5936.074"
"USEP","01 Dec 2014","37","84.55","5830.138"
"USEP","01 Dec 2014","38","84.57","5832.867"
"USEP","01 Dec 2014","39","85.42","5844.800"
"USEP","01 Dec 2014","40","89.65","5840.709"
"USEP","01 Dec 2014","41","90.52","5806.784"
"USEP","01 Dec 2014","42","152.59","5746.558"
"USEP","01 Dec 2014","43","123.71","5660.273"
"USEP","01 Dec 2014","44","106.06","5532.405"
"USEP","01 Dec 2014","45","97.63","5386.238"
"USEP","01 Dec 2014","46","89.48","5250.959"
"USEP","01 Dec 2014","47","87.35","5120.984"
"USEP","01 Dec 2014","48","83.43","4955.826"
"USEP","02 Dec 2014","1","90.42","4794.499"
"USEP","02 Dec 2014","2","87.35","4681.173"
"USEP","02 Dec 2014","3","83.41","4612.955"
"USEP","02 Dec 2014","4","81.72","4535.344"
"USEP","02 Dec 2014","5","81.15","4485.823"
"USEP","02 Dec 2014","6","82.06","4441.962"
"USEP","02 Dec 2014","7","81.25","4411.804"
"USEP","02 Dec 2014","8","81.14","4399.772"
"USEP","02 Dec 2014","9","81.18","4405.681"
"USEP","02 Dec 2014","10","82.03","4429.030"
"USEP","02 Dec 2014","11","83.28","4501.548"
"USEP","02 Dec 2014","12","83.38","4641.692"
"USEP","02 Dec 2014","13","89.38","4798.098"
"USEP","02 Dec 2014","14","97.82","4958.400"
"USEP","02 Dec 2014","15","85.23","5158.577"
"USEP","02 Dec 2014","16","89.44","5449.317"
"USEP","02 Dec 2014","17","106.81","5747.581"
"USEP","02 Dec 2014","18","96.65","5951.103"
"USEP","02 Dec 2014","19","96.61","6066.491"
"USEP","02 Dec 2014","20","99.72","6137.895"
"USEP","02 Dec 2014","21","99.79","6208.027"
"USEP","02 Dec 2014","22","104.89","6262.260"
"USEP","02 Dec 2014","23","106.18","6275.167"
"USEP","02 Dec 2014","24","103.20","6240.208"
"USEP","02 Dec 2014","25","98.81","6189.057"
"USEP","02 Dec 2014","26","96.79","6183.520"
"USEP","02 Dec 2014","27","97.10","6223.722"
"USEP","02 Dec 2014","28","98.81","6277.388"
"USEP","02 Dec 2014","29","99.96","6308.809"
"USEP","02 Dec 2014","30","99.93","6291.349"
"USEP","02 Dec 2014","31","98.88","6273.711"
"USEP","02 Dec 2014","32","99.93","6280.201"
"USEP","02 Dec 2014","33","99.98","6269.854"
"USEP","02 Dec 2014","34","94.81","6226.023"
"USEP","02 Dec 2014","35","106.20","6133.547"
"USEP","02 Dec 2014","36","96.65","5977.533"
"USEP","02 Dec 2014","37","93.61","5873.765"
"USEP","02 Dec 2014","38","94.63","5867.860"
"USEP","02 Dec 2014","39","96.64","5879.530"
"USEP","02 Dec 2014","40","96.62","5868.268"
"USEP","02 Dec 2014","41","96.65","5839.253"
"USEP","02 Dec 2014","42","155.90","5781.835"
"USEP","02 Dec 2014","43","120.05","5703.015"
"USEP","02 Dec 2014","44","106.08","5588.392"
"USEP","02 Dec 2014","45","100.80","5443.104"
"USEP","02 Dec 2014","46","97.63","5313.914"
"USEP","02 Dec 2014","47","96.00","5189.266"
"USEP","02 Dec 2014","48","102.98","5021.246"
"USEP","03 Dec 2014","1","169.82","4858.046"
"USEP","03 Dec 2014","2","145.30","4746.514"
"USEP","03 Dec 2014","3","121.81","4685.323"
"USEP","03 Dec 2014","4","106.53","4624.978"
"USEP","03 Dec 2014","5","102.83","4569.895"
"USEP","03 Dec 2014","6","98.01","4516.930"
"USEP","03 Dec 2014","7","97.96","4479.347"
"USEP","03 Dec 2014","8","96.47","4471.420"
"USEP","03 Dec 2014","9","97.08","4474.014"
"USEP","03 Dec 2014","10","98.69","4500.593"
"USEP","03 Dec 2014","11","101.36","4570.496"
"USEP","03 Dec 2014","12","112.85","4704.920"
"USEP","03 Dec 2014","13","162.21","4869.278"
"USEP","03 Dec 2014","14","163.52","5025.043"
"USEP","03 Dec 2014","15","91.33","5219.017"
"USEP","03 Dec 2014","16","99.21","5512.366"
"USEP","03 Dec 2014","17","104.08","5805.035"
"USEP","03 Dec 2014","18","96.63","5990.008"
"USEP","03 Dec 2014","19","103.04","6109.939"
"USEP","03 Dec 2014","20","102.07","6183.435"
"USEP","03 Dec 2014","21","106.19","6250.988"
"USEP","03 Dec 2014","22","115.99","6298.725"
"USEP","03 Dec 2014","23","115.07","6311.319"
"USEP","03 Dec 2014","24","106.26","6264.173"
"USEP","03 Dec 2014","25","104.16","6213.897"
"USEP","03 Dec 2014","26","103.20","6210.865"
"USEP","03 Dec 2014","27","104.97","6252.548"
"USEP","03 Dec 2014","28","115.17","6321.775"
"USEP","03 Dec 2014","29","147.89","6354.632"
"USEP","03 Dec 2014","30","152.38","6352.624"
"USEP","03 Dec 2014","31","152.77","6346.148"
"USEP","03 Dec 2014","32","155.98","6356.521"
"USEP","03 Dec 2014","33","168.33","6354.135"
"USEP","03 Dec 2014","34","142.18","6313.466"
"USEP","03 Dec 2014","35","106.17","6225.024"
"USEP","03 Dec 2014","36","103.04","6080.964"
"USEP","03 Dec 2014","37","97.73","5966.361"
"USEP","03 Dec 2014","38","99.34","5966.321"
"USEP","03 Dec 2014","39","103.05","5973.259"
"USEP","03 Dec 2014","40","103.01","5953.305"
"USEP","03 Dec 2014","41","102.84","5909.713"
"USEP","03 Dec 2014","42","192.35","5856.409"
"USEP","03 Dec 2014","43","174.23","5772.059"
"USEP","03 Dec 2014","44","146.64","5650.343"
"USEP","03 Dec 2014","45","106.67","5505.955"
"USEP","03 Dec 2014","46","98.24","5371.680"
"USEP","03 Dec 2014","47","95.20","5247.694"
"USEP","03 Dec 2014","48","91.40","5087.058"
"USEP","04 Dec 2014","1","105.01","4927.174"
"USEP","04 Dec 2014","2","97.11","4815.746"
"USEP","04 Dec 2014","3","94.52","4745.436"
"USEP","04 Dec 2014","4","89.82","4677.814"
"USEP","04 Dec 2014","5","89.24","4615.803"
"USEP","04 Dec 2014","6","83.45","4563.529"
"USEP","04 Dec 2014","7","86.15","4526.592"
"USEP","04 Dec 2014","8","86.15","4509.132"
"USEP","04 Dec 2014","9","86.11","4506.538"
"USEP","04 Dec 2014","10","86.15","4530.513"
"USEP","04 Dec 2014","11","84.11","4603.120"
"USEP","04 Dec 2014","12","91.81","4738.189"
"USEP","04 Dec 2014","13","99.26","4910.817"
"USEP","04 Dec 2014","14","105.76","5077.352"
"USEP","04 Dec 2014","15","93.52","5279.427"
"USEP","04 Dec 2014","16","97.67","5567.573"
"USEP","04 Dec 2014","17","115.00","5846.837"
"USEP","04 Dec 2014","18","97.68","6033.814"
"USEP","04 Dec 2014","19","99.88","6120.441"
"USEP","04 Dec 2014","20","98.26","6164.972"
"USEP","04 Dec 2014","21","120.40","6210.661"
"USEP","04 Dec 2014","22","135.23","6248.701"
"USEP","04 Dec 2014","23","127.60","6245.749"
"USEP","04 Dec 2014","24","154.31","6182.928"
"USEP","04 Dec 2014","25","105.91","6111.410"
"USEP","04 Dec 2014","26","103.78","6088.906"
"USEP","04 Dec 2014","27","103.39","6112.131"
"USEP","04 Dec 2014","28","107.68","6149.843"
"USEP","04 Dec 2014","29","105.45","6169.912"
"USEP","04 Dec 2014","30","105.28","6149.764"
"USEP","04 Dec 2014","31","103.75","6133.735"
"USEP","04 Dec 2014","32","96.68","6137.930"
"USEP","04 Dec 2014","33","96.68","6132.329"
