"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Feb 2014","1","138.73","4105.056"
"USEP","01 Feb 2014","2","131.69","4025.178"
"USEP","01 Feb 2014","3","131.60","4013.225"
"USEP","01 Feb 2014","4","129.59","3960.131"
"USEP","01 Feb 2014","5","129.23","3907.956"
"USEP","01 Feb 2014","6","128.10","3863.017"
"USEP","01 Feb 2014","7","127.34","3829.057"
"USEP","01 Feb 2014","8","127.21","3805.514"
"USEP","01 Feb 2014","9","127.08","3795.852"
"USEP","01 Feb 2014","10","127.35","3810.986"
"USEP","01 Feb 2014","11","127.45","3832.287"
"USEP","01 Feb 2014","12","129.21","3878.946"
"USEP","01 Feb 2014","13","129.55","3929.769"
"USEP","01 Feb 2014","14","129.61","3952.228"
"USEP","01 Feb 2014","15","130.29","3960.752"
"USEP","01 Feb 2014","16","132.43","4026.485"
"USEP","01 Feb 2014","17","132.43","4065.008"
"USEP","01 Feb 2014","18","143.09","4141.685"
"USEP","01 Feb 2014","19","147.44","4302.345"
"USEP","01 Feb 2014","20","155.49","4413.494"
"USEP","01 Feb 2014","21","141.23","4462.220"
"USEP","01 Feb 2014","22","131.22","4467.782"
"USEP","01 Feb 2014","23","131.22","4468.661"
"USEP","01 Feb 2014","24","131.21","4468.269"
"USEP","01 Feb 2014","25","130.91","4466.499"
"USEP","01 Feb 2014","26","130.17","4451.162"
"USEP","01 Feb 2014","27","130.09","4426.540"
"USEP","01 Feb 2014","28","130.08","4389.370"
"USEP","01 Feb 2014","29","129.96","4371.592"
"USEP","01 Feb 2014","30","129.96","4368.014"
"USEP","01 Feb 2014","31","130.09","4413.435"
"USEP","01 Feb 2014","32","130.30","4443.568"
"USEP","01 Feb 2014","33","130.08","4430.054"
"USEP","01 Feb 2014","34","130.09","4409.021"
"USEP","01 Feb 2014","35","130.08","4391.462"
"USEP","01 Feb 2014","36","155.41","4403.867"
"USEP","01 Feb 2014","37","155.44","4451.674"
"USEP","01 Feb 2014","38","143.32","4542.983"
"USEP","01 Feb 2014","39","147.58","4626.429"
"USEP","01 Feb 2014","40","155.87","4663.421"
"USEP","01 Feb 2014","41","155.87","4670.329"
"USEP","01 Feb 2014","42","155.87","4674.121"
"USEP","01 Feb 2014","43","153.90","4648.933"
"USEP","01 Feb 2014","44","147.62","4605.744"
"USEP","01 Feb 2014","45","147.54","4525.205"
"USEP","01 Feb 2014","46","147.53","4471.131"
"USEP","01 Feb 2014","47","155.89","4419.717"
"USEP","01 Feb 2014","48","155.83","4368.794"
"USEP","02 Feb 2014","1","155.64","4314.800"
"USEP","02 Feb 2014","2","155.81","4248.028"
"USEP","02 Feb 2014","3","155.74","4159.199"
"USEP","02 Feb 2014","4","146.21","4071.320"
"USEP","02 Feb 2014","5","140.72","3994.424"
"USEP","02 Feb 2014","6","131.15","3923.313"
"USEP","02 Feb 2014","7","130.28","3887.519"
"USEP","02 Feb 2014","8","130.05","3865.283"
"USEP","02 Feb 2014","9","130.06","3857.267"
"USEP","02 Feb 2014","10","130.05","3871.734"
"USEP","02 Feb 2014","11","130.29","3899.094"
"USEP","02 Feb 2014","12","130.68","3933.656"
"USEP","02 Feb 2014","13","141.15","3998.991"
"USEP","02 Feb 2014","14","146.06","4028.617"
"USEP","02 Feb 2014","15","134.16","4027.976"
"USEP","02 Feb 2014","16","147.21","4113.182"
"USEP","02 Feb 2014","17","147.29","4238.262"
"USEP","02 Feb 2014","18","154.99","4349.819"
"USEP","02 Feb 2014","19","155.40","4437.146"
"USEP","02 Feb 2014","20","161.54","4521.671"
"USEP","02 Feb 2014","21","130.02","4600.729"
"USEP","02 Feb 2014","22","127.77","4625.832"
"USEP","02 Feb 2014","23","125.07","4633.993"
"USEP","02 Feb 2014","24","124.96","4604.690"
"USEP","02 Feb 2014","25","125.33","4596.793"
"USEP","02 Feb 2014","26","127.73","4617.438"
"USEP","02 Feb 2014","27","128.32","4656.815"
"USEP","02 Feb 2014","28","128.31","4669.116"
"USEP","02 Feb 2014","29","137.38","4584.805"
