"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Jan 2014","1","128.52","4481.255"
"USEP","01 Jan 2014","2","130.90","4428.061"
"USEP","01 Jan 2014","3","126.54","4345.559"
"USEP","01 Jan 2014","4","126.25","4297.619"
"USEP","01 Jan 2014","5","126.17","4262.048"
"USEP","01 Jan 2014","6","126.19","4251.949"
"USEP","01 Jan 2014","7","126.18","4246.115"
"USEP","01 Jan 2014","8","123.93","4168.916"
"USEP","01 Jan 2014","9","123.14","4067.547"
"USEP","01 Jan 2014","10","123.37","4089.709"
"USEP","01 Jan 2014","11","123.91","4151.098"
"USEP","01 Jan 2014","12","123.91","4160.283"
"USEP","01 Jan 2014","13","123.98","4194.382"
"USEP","01 Jan 2014","14","125.51","4236.587"
"USEP","01 Jan 2014","15","123.92","4228.208"
"USEP","01 Jan 2014","16","125.51","4322.230"
"USEP","01 Jan 2014","17","126.30","4468.035"
"USEP","01 Jan 2014","18","126.27","4575.466"
"USEP","01 Jan 2014","19","130.61","4682.784"
"USEP","01 Jan 2014","20","130.99","4783.854"
"USEP","01 Jan 2014","21","127.57","4844.448"
"USEP","01 Jan 2014","22","128.70","4877.841"
"USEP","01 Jan 2014","23","128.67","4864.616"
"USEP","01 Jan 2014","24","127.62","4854.964"
"USEP","01 Jan 2014","25","127.71","4853.275"
"USEP","01 Jan 2014","26","127.63","4846.898"
"USEP","01 Jan 2014","27","128.67","4881.524"
"USEP","01 Jan 2014","28","128.66","4879.581"
"USEP","01 Jan 2014","29","127.62","4870.953"
"USEP","01 Jan 2014","30","128.66","4874.417"
"USEP","01 Jan 2014","31","126.64","4835.388"
"USEP","01 Jan 2014","32","126.61","4835.959"
"USEP","01 Jan 2014","33","128.68","4867.837"
"USEP","01 Jan 2014","34","130.63","4898.203"
"USEP","01 Jan 2014","35","124.00","4894.948"
"USEP","01 Jan 2014","36","123.95","4849.562"
"USEP","01 Jan 2014","37","123.95","4876.256"
"USEP","01 Jan 2014","38","126.23","4956.839"
"USEP","01 Jan 2014","39","126.33","5033.715"
"USEP","01 Jan 2014","40","127.75","5083.878"
"USEP","01 Jan 2014","41","128.81","5102.063"
"USEP","01 Jan 2014","42","128.81","5081.939"
"USEP","01 Jan 2014","43","126.82","5042.358"
"USEP","01 Jan 2014","44","144.22","4975.204"
"USEP","01 Jan 2014","45","142.86","4903.785"
"USEP","01 Jan 2014","46","136.87","4810.170"
"USEP","01 Jan 2014","47","146.96","4723.399"
"USEP","01 Jan 2014","48","143.03","4603.810"
"USEP","02 Jan 2014","1","128.18","4464.218"
"USEP","02 Jan 2014","2","125.74","4358.745"
"USEP","02 Jan 2014","3","123.16","4243.679"
"USEP","02 Jan 2014","4","122.83","4154.135"
"USEP","02 Jan 2014","5","122.67","4122.724"
"USEP","02 Jan 2014","6","121.91","4088.735"
"USEP","02 Jan 2014","7","122.66","4102.412"
"USEP","02 Jan 2014","8","121.40","4053.795"
"USEP","02 Jan 2014","9","117.73","4026.023"
"USEP","02 Jan 2014","10","117.74","4050.222"
"USEP","02 Jan 2014","11","120.92","4139.081"
"USEP","02 Jan 2014","12","122.81","4248.853"
"USEP","02 Jan 2014","13","123.29","4414.200"
"USEP","02 Jan 2014","14","127.01","4635.042"
"USEP","02 Jan 2014","15","123.83","4889.009"
"USEP","02 Jan 2014","16","127.10","5135.138"
"USEP","02 Jan 2014","17","129.44","5462.577"
"USEP","02 Jan 2014","18","147.24","5777.729"
"USEP","02 Jan 2014","19","162.36","5918.331"
"USEP","02 Jan 2014","20","147.26","5895.121"
"USEP","02 Jan 2014","21","191.32","5981.494"
"USEP","02 Jan 2014","22","732.10","6056.616"
"USEP","02 Jan 2014","23","732.11","6046.835"
"USEP","02 Jan 2014","24","385.82","5977.220"
"USEP","02 Jan 2014","25","358.73","5894.355"
"USEP","02 Jan 2014","26","325.88","5907.044"
"USEP","02 Jan 2014","27","355.32","5958.603"
"USEP","02 Jan 2014","28","312.37","5934.921"
"USEP","02 Jan 2014","29","342.22","6035.846"
"USEP","02 Jan 2014","30","732.47","6046.631"
"USEP","02 Jan 2014","31","401.17","6039.589"
"USEP","02 Jan 2014","32","345.41","5983.572"
"USEP","02 Jan 2014","33","345.40","5981.634"
"USEP","02 Jan 2014","34","318.84","5974.268"
"USEP","02 Jan 2014","35","311.88","5947.728"
"USEP","02 Jan 2014","36","171.17","5877.020"
"USEP","02 Jan 2014","37","159.46","5810.954"
"USEP","02 Jan 2014","38","154.00","5781.397"
"USEP","02 Jan 2014","39","144.02","5734.510"
"USEP","02 Jan 2014","40","139.01","5669.060"
"USEP","02 Jan 2014","41","130.27","5640.890"
"USEP","02 Jan 2014","42","134.12","5594.823"
"USEP","02 Jan 2014","43","137.23","5511.944"
