"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Jul 2014","1","117.84","4947.372"
"USEP","01 Jul 2014","2","112.74","4835.010"
"USEP","01 Jul 2014","3","110.22","4762.557"
"USEP","01 Jul 2014","4","117.90","4747.727"
"USEP","01 Jul 2014","5","116.99","4739.273"
"USEP","01 Jul 2014","6","116.86","4716.918"
"USEP","01 Jul 2014","7","115.29","4689.622"
"USEP","01 Jul 2014","8","119.11","4676.671"
"USEP","01 Jul 2014","9","119.12","4671.711"
"USEP","01 Jul 2014","10","119.08","4705.541"
"USEP","01 Jul 2014","11","119.16","4776.592"
"USEP","01 Jul 2014","12","128.06","4909.570"
"USEP","01 Jul 2014","13","120.23","5056.329"
"USEP","01 Jul 2014","14","126.17","5187.780"
"USEP","01 Jul 2014","15","119.44","5355.384"
"USEP","01 Jul 2014","16","120.36","5651.163"
"USEP","01 Jul 2014","17","126.44","5949.950"
"USEP","01 Jul 2014","18","125.79","6153.292"
"USEP","01 Jul 2014","19","136.57","6277.791"
"USEP","01 Jul 2014","20","146.83","6446.100"
"USEP","01 Jul 2014","21","149.38","6525.998"
"USEP","01 Jul 2014","22","150.83","6552.289"
"USEP","01 Jul 2014","23","147.64","6532.956"
"USEP","01 Jul 2014","24","146.75","6468.167"
"USEP","01 Jul 2014","25","146.74","6418.949"
"USEP","01 Jul 2014","26","150.96","6450.836"
"USEP","01 Jul 2014","27","151.88","6508.821"
"USEP","01 Jul 2014","28","166.82","6557.453"
"USEP","01 Jul 2014","29","171.04","6566.314"
"USEP","01 Jul 2014","30","166.79","6560.817"
"USEP","01 Jul 2014","31","171.05","6549.029"
"USEP","01 Jul 2014","32","191.95","6559.401"
"USEP","01 Jul 2014","33","284.27","6551.032"
"USEP","01 Jul 2014","34","353.69","6525.138"
"USEP","01 Jul 2014","35","218.53","6420.877"
"USEP","01 Jul 2014","36","151.74","6224.488"
"USEP","01 Jul 2014","37","141.45","6078.887"
"USEP","01 Jul 2014","38","144.91","6075.010"
"USEP","01 Jul 2014","39","146.65","6102.469"
"USEP","01 Jul 2014","40","147.81","6078.345"
"USEP","01 Jul 2014","41","147.78","6034.107"
"USEP","01 Jul 2014","42","157.89","5974.054"
"USEP","01 Jul 2014","43","151.84","5901.423"
"USEP","01 Jul 2014","44","140.28","5790.209"
"USEP","01 Jul 2014","45","128.03","5656.337"
"USEP","01 Jul 2014","46","126.39","5535.934"
"USEP","01 Jul 2014","47","118.31","5407.161"
"USEP","01 Jul 2014","48","117.25","5298.979"
"USEP","02 Jul 2014","1","118.18","5195.186"
"USEP","02 Jul 2014","2","116.93","5090.801"
"USEP","02 Jul 2014","3","116.04","4995.625"
"USEP","02 Jul 2014","4","112.78","4926.592"
"USEP","02 Jul 2014","5","112.06","4871.649"
"USEP","02 Jul 2014","6","85.78","4823.798"
"USEP","02 Jul 2014","7","108.59","4788.640"
"USEP","02 Jul 2014","8","116.16","4762.895"
"USEP","02 Jul 2014","9","116.15","4751.877"
"USEP","02 Jul 2014","10","116.17","4774.868"
"USEP","02 Jul 2014","11","116.99","4836.188"
"USEP","02 Jul 2014","12","119.45","4961.481"
"USEP","02 Jul 2014","13","121.03","5173.517"
"USEP","02 Jul 2014","14","121.00","5400.193"
"USEP","02 Jul 2014","15","125.88","5623.421"
"USEP","02 Jul 2014","16","136.49","5880.087"
"USEP","02 Jul 2014","17","149.62","6146.339"
"USEP","02 Jul 2014","18","137.16","6267.105"
"USEP","02 Jul 2014","19","153.00","6381.142"
"USEP","02 Jul 2014","20","185.75","6474.489"
"USEP","02 Jul 2014","21","275.18","6577.715"
"USEP","02 Jul 2014","22","280.46","6628.643"
"USEP","02 Jul 2014","23","264.07","6618.276"
"USEP","02 Jul 2014","24","154.82","6556.513"
"USEP","02 Jul 2014","25","149.67","6504.537"
"USEP","02 Jul 2014","26","163.01","6512.092"
"USEP","02 Jul 2014","27","177.01","6556.841"
"USEP","02 Jul 2014","28","180.66","6590.225"
"USEP","02 Jul 2014","29","164.74","6593.197"
"USEP","02 Jul 2014","30","165.02","6596.606"
"USEP","02 Jul 2014","31","175.00","6598.664"
"USEP","02 Jul 2014","32","176.59","6603.694"
"USEP","02 Jul 2014","33","185.19","6593.684"
"USEP","02 Jul 2014","34","177.03","6572.919"
"USEP","02 Jul 2014","35","149.67","6458.883"
"USEP","02 Jul 2014","36","131.45","6244.711"
"USEP","02 Jul 2014","37","140.24","6109.263"
"USEP","02 Jul 2014","38","126.45","6136.812"
"USEP","02 Jul 2014","39","131.41","6166.125"
"USEP","02 Jul 2014","40","140.27","6155.738"
"USEP","02 Jul 2014","41","131.41","6109.248"
"USEP","02 Jul 2014","42","147.37","6051.790"
"USEP","02 Jul 2014","43","154.86","5973.219"
"USEP","02 Jul 2014","44","160.92","5856.454"
"USEP","02 Jul 2014","45","149.59","5721.842"
"USEP","02 Jul 2014","46","140.11","5598.203"
"USEP","02 Jul 2014","47","128.95","5478.590"
"USEP","02 Jul 2014","48","119.46","5367.138"
"USEP","03 Jul 2014","1","156.37","5266.664"
"USEP","03 Jul 2014","2","136.14","5177.776"
"USEP","03 Jul 2014","3","126.12","5082.789"
"USEP","03 Jul 2014","4","120.03","5008.219"
"USEP","03 Jul 2014","5","118.50","4952.361"
"USEP","03 Jul 2014","6","118.36","4900.246"
"USEP","03 Jul 2014","7","118.29","4861.823"
"USEP","03 Jul 2014","8","118.29","4844.030"
"USEP","03 Jul 2014","9","118.27","4839.900"
"USEP","03 Jul 2014","10","117.94","4856.431"
"USEP","03 Jul 2014","11","118.36","4914.366"
"USEP","03 Jul 2014","12","118.51","5035.773"
"USEP","03 Jul 2014","13","118.35","5190.146"
"USEP","03 Jul 2014","14","118.46","5318.069"
"USEP","03 Jul 2014","15","118.30","5473.431"
"USEP","03 Jul 2014","16","119.25","5746.771"
"USEP","03 Jul 2014","17","136.50","6043.614"
"USEP","03 Jul 2014","18","129.10","6242.762"
"USEP","03 Jul 2014","19","136.49","6347.162"
"USEP","03 Jul 2014","20","142.96","6424.515"
"USEP","03 Jul 2014","21","155.06","6496.888"
"USEP","03 Jul 2014","22","171.97","6529.835"
"USEP","03 Jul 2014","23","155.08","6496.849"
"USEP","03 Jul 2014","24","141.95","6398.025"
"USEP","03 Jul 2014","25","135.26","6330.582"
"USEP","03 Jul 2014","26","136.51","6368.469"
"USEP","03 Jul 2014","27","143.41","6442.914"
"USEP","03 Jul 2014","28","152.02","6489.607"
"USEP","03 Jul 2014","29","158.05","6503.011"
"USEP","03 Jul 2014","30","156.09","6500.666"
"USEP","03 Jul 2014","31","161.12","6501.829"
"USEP","03 Jul 2014","32","156.10","6500.556"
"USEP","03 Jul 2014","33","164.56","6500.810"
"USEP","03 Jul 2014","34","156.10","6477.466"
"USEP","03 Jul 2014","35","142.95","6403.507"
"USEP","03 Jul 2014","36","158.14","6264.024"
"USEP","03 Jul 2014","37","142.24","6179.072"
"USEP","03 Jul 2014","38","143.26","6190.210"
"USEP","03 Jul 2014","39","149.62","6183.972"
"USEP","03 Jul 2014","40","143.30","6145.668"
"USEP","03 Jul 2014","41","149.63","6104.750"
"USEP","03 Jul 2014","42","172.15","6051.576"
"USEP","03 Jul 2014","43","154.93","5974.427"
"USEP","03 Jul 2014","44","144.84","5853.850"
"USEP","03 Jul 2014","45","136.42","5717.349"
"USEP","03 Jul 2014","46","136.38","5593.213"
"USEP","03 Jul 2014","47","133.96","5471.826"
"USEP","03 Jul 2014","48","119.91","5361.596"
"USEP","04 Jul 2014","1","153.03","5259.398"
"USEP","04 Jul 2014","2","142.92","5172.274"
"USEP","04 Jul 2014","3","132.16","5087.446"
"USEP","04 Jul 2014","4","127.59","5014.849"
"USEP","04 Jul 2014","5","127.52","4962.719"
"USEP","04 Jul 2014","6","125.50","4907.154"
"USEP","04 Jul 2014","7","125.50","4875.346"
"USEP","04 Jul 2014","8","125.48","4862.529"
"USEP","04 Jul 2014","9","125.50","4866.107"
"USEP","04 Jul 2014","10","125.83","4881.887"
"USEP","04 Jul 2014","11","128.51","4933.331"
"USEP","04 Jul 2014","12","128.53","5052.358"
"USEP","04 Jul 2014","13","136.14","5204.619"
"USEP","04 Jul 2014","14","136.17","5335.370"
"USEP","04 Jul 2014","15","121.52","5493.962"
"USEP","04 Jul 2014","16","133.89","5769.772"
"USEP","04 Jul 2014","17","149.55","6072.286"
"USEP","04 Jul 2014","18","136.43","6281.434"
"USEP","04 Jul 2014","19","147.71","6395.068"
"USEP","04 Jul 2014","20","161.38","6473.355"
"USEP","04 Jul 2014","21","222.45","6541.574"
"USEP","04 Jul 2014","22","247.78","6566.821"
"USEP","04 Jul 2014","23","201.19","6541.638"
"USEP","04 Jul 2014","24","555.62","6453.396"
"USEP","04 Jul 2014","25","505.63","6396.932"
"USEP","04 Jul 2014","26","555.37","6425.584"
"USEP","04 Jul 2014","27","328.66","6490.000"
"USEP","04 Jul 2014","28","328.61","6522.106"
"USEP","04 Jul 2014","29","288.86","6515.889"
"USEP","04 Jul 2014","30","288.66","6488.434"
"USEP","04 Jul 2014","31","288.66","6473.852"
"USEP","04 Jul 2014","32","263.66","6461.760"
"USEP","04 Jul 2014","33","263.87","6449.370"
"USEP","04 Jul 2014","34","276.58","6424.625"
"USEP","04 Jul 2014","35","263.14","6346.809"
"USEP","04 Jul 2014","36","257.34","6223.121"
"USEP","04 Jul 2014","37","226.30","6132.577"
"USEP","04 Jul 2014","38","247.64","6140.629"
"USEP","04 Jul 2014","39","251.34","6151.950"
"USEP","04 Jul 2014","40","251.33","6146.315"
"USEP","04 Jul 2014","41","262.84","6128.080"
"USEP","04 Jul 2014","42","293.82","6097.708"
"USEP","04 Jul 2014","43","262.89","6034.673"
"USEP","04 Jul 2014","44","226.36","5926.790"
"USEP","04 Jul 2014","45","185.39","5808.051"
"USEP","04 Jul 2014","46","168.51","5668.524"
"USEP","04 Jul 2014","47","149.48","5543.444"
"USEP","04 Jul 2014","48","132.37","5361.298"
"USEP","05 Jul 2014","1","156.44","5206.224"
