"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Jun 2014","1","161.44","5074.519"
"USEP","01 Jun 2014","2","150.02","4982.022"
"USEP","01 Jun 2014","3","145.31","4890.450"
"USEP","01 Jun 2014","4","128.25","4820.642"
"USEP","01 Jun 2014","5","122.21","4763.829"
"USEP","01 Jun 2014","6","122.87","4709.607"
"USEP","01 Jun 2014","7","119.96","4659.544"
"USEP","01 Jun 2014","8","119.03","4615.659"
"USEP","01 Jun 2014","9","118.45","4593.289"
"USEP","01 Jun 2014","10","119.04","4615.699"
"USEP","01 Jun 2014","11","119.04","4630.957"
"USEP","01 Jun 2014","12","119.03","4622.244"
"USEP","01 Jun 2014","13","119.27","4648.138"
"USEP","01 Jun 2014","14","119.27","4659.534"
"USEP","01 Jun 2014","15","119.42","4698.722"
"USEP","01 Jun 2014","16","122.96","4820.577"
"USEP","01 Jun 2014","17","131.60","4951.651"
"USEP","01 Jun 2014","18","141.11","5038.009"
"USEP","01 Jun 2014","19","145.23","5111.958"
"USEP","01 Jun 2014","20","147.22","5165.977"
"USEP","01 Jun 2014","21","126.60","5222.734"
"USEP","01 Jun 2014","22","127.02","5273.945"
"USEP","01 Jun 2014","23","147.41","5318.462"
"USEP","01 Jun 2014","24","139.22","5312.527"
"USEP","01 Jun 2014","25","147.22","5300.828"
"USEP","01 Jun 2014","26","137.44","5305.748"
"USEP","01 Jun 2014","27","149.85","5362.347"
"USEP","01 Jun 2014","28","147.36","5370.537"
"USEP","01 Jun 2014","29","147.17","5384.563"
"USEP","01 Jun 2014","30","145.30","5338.784"
"USEP","01 Jun 2014","31","147.43","5346.776"
"USEP","01 Jun 2014","32","133.75","5301.265"
"USEP","01 Jun 2014","33","124.97","5250.840"
"USEP","01 Jun 2014","34","135.77","5264.979"
"USEP","01 Jun 2014","35","147.43","5344.490"
"USEP","01 Jun 2014","36","159.91","5341.816"
"USEP","01 Jun 2014","37","145.20","5324.863"
"USEP","01 Jun 2014","38","124.04","5405.342"
"USEP","01 Jun 2014","39","145.27","5499.623"
"USEP","01 Jun 2014","40","147.42","5558.125"
"USEP","01 Jun 2014","41","150.01","5593.049"
"USEP","01 Jun 2014","42","151.06","5601.886"
"USEP","01 Jun 2014","43","151.99","5550.243"
"USEP","01 Jun 2014","44","145.26","5459.172"
"USEP","01 Jun 2014","45","127.19","5363.848"
"USEP","01 Jun 2014","46","123.70","5279.805"
"USEP","01 Jun 2014","47","160.98","5179.923"
"USEP","01 Jun 2014","48","126.46","5074.151"
"USEP","02 Jun 2014","1","120.44","4961.168"
"USEP","02 Jun 2014","2","121.30","4875.699"
"USEP","02 Jun 2014","3","121.37","4800.170"
"USEP","02 Jun 2014","4","121.43","4739.844"
"USEP","02 Jun 2014","5","121.29","4687.669"
"USEP","02 Jun 2014","6","120.43","4625.331"
"USEP","02 Jun 2014","7","118.56","4588.289"
"USEP","02 Jun 2014","8","118.26","4574.204"
"USEP","02 Jun 2014","9","118.24","4580.476"
"USEP","02 Jun 2014","10","118.22","4600.222"
"USEP","02 Jun 2014","11","117.32","4594.044"
"USEP","02 Jun 2014","12","114.61","4621.464"
"USEP","02 Jun 2014","13","118.24","4725.098"
"USEP","02 Jun 2014","14","120.57","5037.905"
"USEP","02 Jun 2014","15","118.81","5440.276"
"USEP","02 Jun 2014","16","120.59","5752.417"
"USEP","02 Jun 2014","17","121.52","6028.526"
"USEP","02 Jun 2014","18","121.54","6214.722"
"USEP","02 Jun 2014","19","121.53","6312.988"
"USEP","02 Jun 2014","20","123.26","6457.601"
"USEP","02 Jun 2014","21","137.52","6560.022"
"USEP","02 Jun 2014","22","137.60","6586.835"
"USEP","02 Jun 2014","23","139.65","6551.852"
"USEP","02 Jun 2014","24","137.60","6487.416"
"USEP","02 Jun 2014","25","125.60","6410.003"
"USEP","02 Jun 2014","26","125.61","6417.329"
"USEP","02 Jun 2014","27","135.55","6459.395"
"USEP","02 Jun 2014","28","133.48","6473.758"
"USEP","02 Jun 2014","29","153.65","6481.536"
"USEP","02 Jun 2014","30","153.64","6469.041"
"USEP","02 Jun 2014","31","153.53","6465.175"
"USEP","02 Jun 2014","32","160.92","6466.800"
"USEP","02 Jun 2014","33","123.91","6445.817"
"USEP","02 Jun 2014","34","124.91","6389.894"
"USEP","02 Jun 2014","35","122.24","6296.846"
"USEP","02 Jun 2014","36","124.51","6154.749"
"USEP","02 Jun 2014","37","152.16","6058.604"
"USEP","02 Jun 2014","38","160.57","6078.295"
"USEP","02 Jun 2014","39","133.33","6094.269"
"USEP","02 Jun 2014","40","133.33","6067.401"
"USEP","02 Jun 2014","41","127.48","6029.465"
"USEP","02 Jun 2014","42","125.57","5826.107"
"USEP","02 Jun 2014","43","116.27","5602.065"
"USEP","02 Jun 2014","44","114.61","5511.690"
"USEP","02 Jun 2014","45","117.31","5487.690"
"USEP","02 Jun 2014","46","113.47","5363.038"
"USEP","02 Jun 2014","47","108.73","5234.260"
"USEP","02 Jun 2014","48","107.27","5093.097"
"USEP","03 Jun 2014","1","119.47","4961.978"
"USEP","03 Jun 2014","2","119.17","4856.381"
"USEP","03 Jun 2014","3","118.35","4773.173"
"USEP","03 Jun 2014","4","118.23","4711.535"
"USEP","03 Jun 2014","5","118.11","4661.487"
"USEP","03 Jun 2014","6","117.45","4627.005"
"USEP","03 Jun 2014","7","102.25","4603.174"
"USEP","03 Jun 2014","8","89.82","4585.049"
"USEP","03 Jun 2014","9","89.82","4582.161"
"USEP","03 Jun 2014","10","102.32","4613.527"
"USEP","03 Jun 2014","11","114.67","4700.994"
"USEP","03 Jun 2014","12","116.61","4845.646"
"USEP","03 Jun 2014","13","118.43","5025.177"
"USEP","03 Jun 2014","14","118.32","5201.269"
"USEP","03 Jun 2014","15","116.73","5401.868"
"USEP","03 Jun 2014","16","118.46","5735.340"
"USEP","03 Jun 2014","17","120.30","6088.494"
"USEP","03 Jun 2014","18","122.25","6296.637"
"USEP","03 Jun 2014","19","152.19","6384.333"
"USEP","03 Jun 2014","20","155.49","6446.557"
"USEP","03 Jun 2014","21","147.35","6498.345"
