"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Mar 2014","1","125.26","4901.325"
"USEP","01 Mar 2014","2","125.25","4811.258"
"USEP","01 Mar 2014","3","131.12","4727.628"
"USEP","01 Mar 2014","4","127.87","4645.394"
"USEP","01 Mar 2014","5","125.22","4579.149"
"USEP","01 Mar 2014","6","125.15","4530.379"
"USEP","01 Mar 2014","7","125.13","4495.678"
"USEP","01 Mar 2014","8","124.06","4457.449"
"USEP","01 Mar 2014","9","123.06","4449.060"
"USEP","01 Mar 2014","10","122.74","4433.096"
"USEP","01 Mar 2014","11","123.06","4476.310"
"USEP","01 Mar 2014","12","125.14","4540.895"
"USEP","01 Mar 2014","13","125.12","4578.225"
"USEP","01 Mar 2014","14","125.17","4646.135"
"USEP","01 Mar 2014","15","125.13","4723.354"
"USEP","01 Mar 2014","16","126.75","4931.766"
"USEP","01 Mar 2014","17","125.35","5133.682"
"USEP","01 Mar 2014","18","126.83","5332.397"
"USEP","01 Mar 2014","19","138.84","5465.454"
"USEP","01 Mar 2014","20","131.87","5559.541"
"USEP","01 Mar 2014","21","148.06","5674.338"
"USEP","01 Mar 2014","22","128.27","5712.866"
"USEP","01 Mar 2014","23","129.11","5723.914"
"USEP","01 Mar 2014","24","128.04","5705.431"
"USEP","01 Mar 2014","25","126.23","5631.239"
"USEP","01 Mar 2014","26","126.15","5592.602"
"USEP","01 Mar 2014","27","125.64","5546.485"
"USEP","01 Mar 2014","28","125.69","5563.428"
"USEP","01 Mar 2014","29","125.69","5559.795"
"USEP","01 Mar 2014","30","126.15","5527.132"
"USEP","01 Mar 2014","31","126.15","5511.357"
"USEP","01 Mar 2014","32","125.67","5483.053"
"USEP","01 Mar 2014","33","125.67","5458.785"
"USEP","01 Mar 2014","34","125.42","5408.722"
"USEP","01 Mar 2014","35","126.24","5346.632"
"USEP","01 Mar 2014","36","125.66","5303.711"
"USEP","01 Mar 2014","37","126.25","5282.772"
"USEP","01 Mar 2014","38","129.95","5357.377"
"USEP","01 Mar 2014","39","133.30","5406.933"
"USEP","01 Mar 2014","40","133.35","5421.067"
"USEP","01 Mar 2014","41","133.03","5413.056"
"USEP","01 Mar 2014","42","133.37","5399.324"
"USEP","01 Mar 2014","43","132.59","5372.197"
"USEP","01 Mar 2014","44","132.84","5294.352"
"USEP","01 Mar 2014","45","130.42","5185.092"
"USEP","01 Mar 2014","46","127.74","5099.071"
"USEP","01 Mar 2014","47","126.17","5006.818"
"USEP","01 Mar 2014","48","126.16","4887.841"
"USEP","02 Mar 2014","1","135.01","4774.222"
"USEP","02 Mar 2014","2","127.83","4666.785"
"USEP","02 Mar 2014","3","127.20","4570.675"
"USEP","02 Mar 2014","4","126.71","4506.200"
"USEP","02 Mar 2014","5","124.07","4454.343"
"USEP","02 Mar 2014","6","123.80","4402.694"
"USEP","02 Mar 2014","7","123.67","4351.101"
"USEP","02 Mar 2014","8","123.11","4327.215"
"USEP","02 Mar 2014","9","123.01","4305.481"
"USEP","02 Mar 2014","10","123.03","4320.153"
"USEP","02 Mar 2014","11","123.02","4321.221"
"USEP","02 Mar 2014","12","123.66","4364.311"
"USEP","02 Mar 2014","13","123.84","4423.941"
"USEP","02 Mar 2014","14","123.84","4435.571"
"USEP","02 Mar 2014","15","123.79","4428.012"
"USEP","02 Mar 2014","16","124.13","4511.821"
"USEP","02 Mar 2014","17","127.20","4652.099"
"USEP","02 Mar 2014","18","133.77","4793.694"
"USEP","02 Mar 2014","19","134.19","4904.172"
"USEP","02 Mar 2014","20","135.99","5015.779"
"USEP","02 Mar 2014","21","127.90","5102.152"
"USEP","02 Mar 2014","22","128.08","5135.635"
"USEP","02 Mar 2014","23","128.28","5143.354"
"USEP","02 Mar 2014","24","128.17","5115.591"
"USEP","02 Mar 2014","25","128.15","5097.485"
"USEP","02 Mar 2014","26","128.20","5139.671"
"USEP","02 Mar 2014","27","128.75","5165.172"
"USEP","02 Mar 2014","28","128.81","5182.840"
"USEP","02 Mar 2014","29","128.81","5201.826"
"USEP","02 Mar 2014","30","128.97","5206.448"
"USEP","02 Mar 2014","31","131.91","5234.165"
"USEP","02 Mar 2014","32","130.08","5212.899"
"USEP","02 Mar 2014","33","128.28","5197.591"
