"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 May 2014","1","146.50","5006.246"
"USEP","01 May 2014","2","156.51","4936.179"
"USEP","01 May 2014","3","170.62","4922.537"
"USEP","01 May 2014","4","170.64","4884.248"
"USEP","01 May 2014","5","171.69","4866.768"
"USEP","01 May 2014","6","138.81","4816.541"
"USEP","01 May 2014","7","147.50","4765.778"
"USEP","01 May 2014","8","147.18","4758.755"
"USEP","01 May 2014","9","147.18","4753.149"
"USEP","01 May 2014","10","120.19","4736.768"
"USEP","01 May 2014","11","119.11","4724.402"
"USEP","01 May 2014","12","151.81","4745.813"
"USEP","01 May 2014","13","122.55","4795.021"
"USEP","01 May 2014","14","121.89","4797.983"
"USEP","01 May 2014","15","120.22","4784.892"
"USEP","01 May 2014","16","140.31","4849.522"
"USEP","01 May 2014","17","130.09","4969.876"
"USEP","01 May 2014","18","132.23","5044.098"
"USEP","01 May 2014","19","130.20","5089.772"
"USEP","01 May 2014","20","132.25","5154.730"
"USEP","01 May 2014","21","132.26","5238.236"
"USEP","01 May 2014","22","140.49","5282.514"
"USEP","01 May 2014","23","124.03","5289.074"
"USEP","01 May 2014","24","120.41","5271.515"
"USEP","01 May 2014","25","116.37","5272.305"
"USEP","01 May 2014","26","117.91","5303.507"
"USEP","01 May 2014","27","120.07","5336.100"
"USEP","01 May 2014","28","123.65","5338.923"
"USEP","01 May 2014","29","122.05","5308.780"
"USEP","01 May 2014","30","120.72","5272.400"
"USEP","01 May 2014","31","120.34","5249.334"
"USEP","01 May 2014","32","120.34","5239.921"
"USEP","01 May 2014","33","120.26","5227.829"
"USEP","01 May 2014","34","120.04","5226.671"
"USEP","01 May 2014","35","120.04","5224.335"
"USEP","01 May 2014","36","120.15","5233.509"
"USEP","01 May 2014","37","120.31","5287.777"
"USEP","01 May 2014","38","128.78","5420.988"
"USEP","01 May 2014","39","146.57","5519.458"
"USEP","01 May 2014","40","151.59","5570.565"
"USEP","01 May 2014","41","157.71","5604.947"
"USEP","01 May 2014","42","165.87","5639.926"
"USEP","01 May 2014","43","334.59","5632.928"
"USEP","01 May 2014","44","269.18","5559.472"
"USEP","01 May 2014","45","181.38","5435.033"
"USEP","01 May 2014","46","160.87","5326.096"
"USEP","01 May 2014","47","159.09","5217.228"
"USEP","01 May 2014","48","142.33","5045.112"
"USEP","02 May 2014","1","126.58","4868.110"
"USEP","02 May 2014","2","121.22","4756.876"
"USEP","02 May 2014","3","121.55","4804.688"
"USEP","02 May 2014","4","134.91","4862.732"
"USEP","02 May 2014","5","145.27","4908.919"
"USEP","02 May 2014","6","140.03","4847.554"
"USEP","02 May 2014","7","121.52","4764.123"
"USEP","02 May 2014","8","120.55","4631.623"
"USEP","02 May 2014","9","120.22","4599.119"
"USEP","02 May 2014","10","120.06","4625.082"
"USEP","02 May 2014","11","118.66","4559.702"
"USEP","02 May 2014","12","119.03","4680.567"
"USEP","02 May 2014","13","120.63","4943.987"
"USEP","02 May 2014","14","121.18","5040.251"
"USEP","02 May 2014","15","120.56","5143.637"
"USEP","02 May 2014","16","122.07","5541.038"
"USEP","02 May 2014","17","125.36","5869.833"
"USEP","02 May 2014","18","124.23","5947.515"
"USEP","02 May 2014","19","123.55","6044.827"
"USEP","02 May 2014","20","147.01","6223.141"
"USEP","02 May 2014","21","156.72","6348.474"
"USEP","02 May 2014","22","226.47","6573.958"
"USEP","02 May 2014","23","176.28","6501.043"
"USEP","02 May 2014","24","171.17","6515.665"
"USEP","02 May 2014","25","157.93","6505.715"
"USEP","02 May 2014","26","149.52","6496.854"
"USEP","02 May 2014","27","139.27","6473.539"
"USEP","02 May 2014","28","148.64","6478.604"
"USEP","02 May 2014","29","149.65","6542.339"
"USEP","02 May 2014","30","160.61","6609.807"
"USEP","02 May 2014","31","139.34","6627.033"
"USEP","02 May 2014","32","122.17","6587.442"
"USEP","02 May 2014","33","121.41","6549.550"
"USEP","02 May 2014","34","121.34","6486.178"
"USEP","02 May 2014","35","121.26","6390.630"
"USEP","02 May 2014","36","121.19","6252.702"
"USEP","02 May 2014","37","121.26","6098.399"
"USEP","02 May 2014","38","120.65","6060.214"
"USEP","02 May 2014","39","120.72","6088.812"
"USEP","02 May 2014","40","121.18","6153.238"
"USEP","02 May 2014","41","121.21","6142.507"
"USEP","02 May 2014","42","123.16","6092.445"
"USEP","02 May 2014","43","128.12","5984.248"
"USEP","02 May 2014","44","120.32","5797.813"
"USEP","02 May 2014","45","120.52","5610.926"
"USEP","02 May 2014","46","120.73","5497.521"
"USEP","02 May 2014","47","122.72","5448.407"
