"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Nov 2014","1","176.71","4994.691"
"USEP","01 Nov 2014","2","156.11","4912.244"
"USEP","01 Nov 2014","3","145.03","4806.581"
"USEP","01 Nov 2014","4","135.20","4746.097"
"USEP","01 Nov 2014","5","132.07","4690.418"
"USEP","01 Nov 2014","6","116.15","4643.779"
"USEP","01 Nov 2014","7","116.14","4600.789"
"USEP","01 Nov 2014","8","115.32","4573.623"
"USEP","01 Nov 2014","9","115.31","4551.899"
"USEP","01 Nov 2014","10","115.32","4557.187"
"USEP","01 Nov 2014","11","116.14","4592.086"
"USEP","01 Nov 2014","12","116.16","4648.481"
"USEP","01 Nov 2014","13","116.14","4703.916"
"USEP","01 Nov 2014","14","116.20","4733.209"
"USEP","01 Nov 2014","15","124.99","4809.553"
"USEP","01 Nov 2014","16","160.04","5009.253"
"USEP","01 Nov 2014","17","124.72","5236.978"
"USEP","01 Nov 2014","18","135.32","5416.132"
"USEP","01 Nov 2014","19","212.44","5547.812"
"USEP","01 Nov 2014","20","221.55","5654.285"
"USEP","01 Nov 2014","21","223.61","5739.177"
"USEP","01 Nov 2014","22","223.47","5766.363"
"USEP","01 Nov 2014","23","222.55","5763.436"
"USEP","01 Nov 2014","24","221.55","5711.604"
"USEP","01 Nov 2014","25","211.32","5665.417"
"USEP","01 Nov 2014","26","210.29","5620.190"
"USEP","01 Nov 2014","27","210.27","5600.703"
"USEP","01 Nov 2014","28","212.46","5585.733"
"USEP","01 Nov 2014","29","211.47","5571.991"
"USEP","01 Nov 2014","30","202.17","5534.050"
"USEP","01 Nov 2014","31","192.36","5504.956"
"USEP","01 Nov 2014","32","192.35","5470.464"
"USEP","01 Nov 2014","33","191.48","5439.009"
"USEP","01 Nov 2014","34","162.82","5392.395"
"USEP","01 Nov 2014","35","166.28","5363.868"
"USEP","01 Nov 2014","36","154.69","5332.696"
"USEP","01 Nov 2014","37","163.20","5345.006"
"USEP","01 Nov 2014","38","211.50","5423.244"
"USEP","01 Nov 2014","39","212.53","5478.496"
"USEP","01 Nov 2014","40","212.54","5477.397"
"USEP","01 Nov 2014","41","213.65","5479.241"
"USEP","01 Nov 2014","42","210.14","5475.588"
"USEP","01 Nov 2014","43","213.60","5452.338"
"USEP","01 Nov 2014","44","212.52","5379.091"
"USEP","01 Nov 2014","45","212.38","5291.927"
"USEP","01 Nov 2014","46","194.42","5208.535"
"USEP","01 Nov 2014","47","193.36","5138.990"
"USEP","01 Nov 2014","48","241.72","5046.230"
"USEP","02 Nov 2014","1","223.47","4961.720"
"USEP","02 Nov 2014","2","204.34","4863.021"
"USEP","02 Nov 2014","3","201.27","4754.382"
"USEP","02 Nov 2014","4","182.98","4693.504"
"USEP","02 Nov 2014","5","176.05","4621.896"
"USEP","02 Nov 2014","6","162.45","4579.751"
"USEP","02 Nov 2014","7","146.80","4523.828"
"USEP","02 Nov 2014","8","142.11","4502.800"
"USEP","02 Nov 2014","9","124.44","4471.484"
"USEP","02 Nov 2014","10","124.85","4478.308"
"USEP","02 Nov 2014","11","124.43","4481.712"
"USEP","02 Nov 2014","12","132.04","4520.906"
"USEP","02 Nov 2014","13","142.08","4555.477"
"USEP","02 Nov 2014","14","142.08","4565.859"
"USEP","02 Nov 2014","15","145.34","4566.779"
"USEP","02 Nov 2014","16","173.91","4660.906"
"USEP","02 Nov 2014","17","183.73","4780.921"
"USEP","02 Nov 2014","18","204.09","4908.044"
"USEP","02 Nov 2014","19","223.23","5003.856"
"USEP","02 Nov 2014","20","234.64","5116.078"
"USEP","02 Nov 2014","21","187.31","5192.035"
"USEP","02 Nov 2014","22","201.20","5254.050"
"USEP","02 Nov 2014","23","200.16","5254.746"
"USEP","02 Nov 2014","24","196.50","5250.209"
"USEP","02 Nov 2014","25","181.40","5215.990"
"USEP","02 Nov 2014","26","189.37","5233.882"
"USEP","02 Nov 2014","27","186.80","5237.724"
"USEP","02 Nov 2014","28","194.11","5256.337"
"USEP","02 Nov 2014","29","191.08","5246.506"
"USEP","02 Nov 2014","30","196.49","5252.699"
"USEP","02 Nov 2014","31","188.35","5240.010"
"USEP","02 Nov 2014","32","194.70","5250.919"
"USEP","02 Nov 2014","33","191.46","5236.864"
"USEP","02 Nov 2014","34","202.12","5249.423"
"USEP","02 Nov 2014","35","202.13","5239.747"
"USEP","02 Nov 2014","36","241.53","5245.751"
"USEP","02 Nov 2014","37","241.64","5277.529"
"USEP","02 Nov 2014","38","236.96","5382.465"
"USEP","02 Nov 2014","39","241.73","5456.980"
"USEP","02 Nov 2014","40","242.72","5493.555"
"USEP","02 Nov 2014","41","243.78","5499.643"
"USEP","02 Nov 2014","42","247.30","5502.451"
"USEP","02 Nov 2014","43","247.28","5478.118"
"USEP","02 Nov 2014","44","243.73","5433.000"
"USEP","02 Nov 2014","45","241.33","5322.532"
"USEP","02 Nov 2014","46","237.13","5243.688"
"USEP","02 Nov 2014","47","241.47","5139.721"
"USEP","02 Nov 2014","48","241.22","5069.246"
"USEP","03 Nov 2014","1","241.12","5005.287"
"USEP","03 Nov 2014","2","213.81","4918.640"
"USEP","03 Nov 2014","3","200.72","4797.099"
"USEP","03 Nov 2014","4","189.80","4722.931"
"USEP","03 Nov 2014","5","180.47","4663.450"
"USEP","03 Nov 2014","6","171.01","4606.449"
"USEP","03 Nov 2014","7","162.44","4573.831"
"USEP","03 Nov 2014","8","146.88","4545.438"
"USEP","03 Nov 2014","9","142.28","4541.134"
"USEP","03 Nov 2014","10","145.38","4554.235"
"USEP","03 Nov 2014","11","170.86","4625.355"
"USEP","03 Nov 2014","12","183.43","4750.018"
"USEP","03 Nov 2014","13","202.04","4925.916"
"USEP","03 Nov 2014","14","231.07","5076.472"
"USEP","03 Nov 2014","15","145.53","5275.486"
"USEP","03 Nov 2014","16","195.30","5565.322"
"USEP","03 Nov 2014","17","223.64","5854.357"
"USEP","03 Nov 2014","18","204.55","6073.713"
"USEP","03 Nov 2014","19","218.69","6212.689"
"USEP","03 Nov 2014","20","252.83","6315.613"
"USEP","03 Nov 2014","21","311.73","6385.063"
"USEP","03 Nov 2014","22","405.17","6439.823"
"USEP","03 Nov 2014","23","366.59","6433.774"
"USEP","03 Nov 2014","24","342.26","6388.696"
"USEP","03 Nov 2014","25","276.48","6337.167"
"USEP","03 Nov 2014","26","276.51","6341.616"
"USEP","03 Nov 2014","27","319.37","6384.323"
"USEP","03 Nov 2014","28","373.15","6427.174"
"USEP","03 Nov 2014","29","356.94","6433.705"
"USEP","03 Nov 2014","30","362.08","6418.392"
"USEP","03 Nov 2014","31","355.15","6411.553"
"USEP","03 Nov 2014","32","351.97","6421.856"
"USEP","03 Nov 2014","33","355.15","6420.127"
"USEP","03 Nov 2014","34","291.96","6385.098"
"USEP","03 Nov 2014","35","216.03","6314.052"
"USEP","03 Nov 2014","36","186.15","6185.448"
