"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Oct 2014","1","154.43","5205.757"
"USEP","01 Oct 2014","2","148.50","5094.916"
"USEP","01 Oct 2014","3","145.29","5029.446"
"USEP","01 Oct 2014","4","141.98","4975.616"
"USEP","01 Oct 2014","5","128.62","4935.399"
"USEP","01 Oct 2014","6","141.11","4892.483"
"USEP","01 Oct 2014","7","126.15","4858.195"
"USEP","01 Oct 2014","8","125.99","4836.724"
"USEP","01 Oct 2014","9","119.31","4831.799"
"USEP","01 Oct 2014","10","119.32","4848.120"
"USEP","01 Oct 2014","11","126.00","4908.775"
"USEP","01 Oct 2014","12","141.21","5034.516"
"USEP","01 Oct 2014","13","143.47","5186.175"
"USEP","01 Oct 2014","14","162.30","5320.494"
"USEP","01 Oct 2014","15","119.40","5493.306"
"USEP","01 Oct 2014","16","121.98","5776.894"
"USEP","01 Oct 2014","17","142.02","6060.184"
"USEP","01 Oct 2014","18","141.36","6266.210"
"USEP","01 Oct 2014","19","172.53","6395.316"
"USEP","01 Oct 2014","20","192.35","6489.627"
"USEP","01 Oct 2014","21","203.86","6561.861"
"USEP","01 Oct 2014","22","262.07","6606.263"
"USEP","01 Oct 2014","23","254.33","6602.237"
"USEP","01 Oct 2014","24","199.28","6546.707"
"USEP","01 Oct 2014","25","182.86","6495.591"
"USEP","01 Oct 2014","26","182.29","6513.051"
"USEP","01 Oct 2014","27","183.02","6561.329"
"USEP","01 Oct 2014","28","183.30","6592.397"
"USEP","01 Oct 2014","29","181.98","6591.701"
"USEP","01 Oct 2014","30","176.85","6582.149"
"USEP","01 Oct 2014","31","176.98","6575.742"
"USEP","01 Oct 2014","32","176.90","6578.938"
"USEP","01 Oct 2014","33","176.90","6575.151"
"USEP","01 Oct 2014","34","169.10","6547.503"
"USEP","01 Oct 2014","35","176.93","6476.168"
"USEP","01 Oct 2014","36","153.59","6351.680"
"USEP","01 Oct 2014","37","146.27","6257.752"
"USEP","01 Oct 2014","38","147.70","6266.683"
"USEP","01 Oct 2014","39","152.36","6257.493"
"USEP","01 Oct 2014","40","144.57","6213.519"
"USEP","01 Oct 2014","41","143.58","6153.665"
"USEP","01 Oct 2014","42","182.32","6101.157"
"USEP","01 Oct 2014","43","165.98","6018.009"
"USEP","01 Oct 2014","44","161.84","5903.038"
"USEP","01 Oct 2014","45","159.42","5763.679"
"USEP","01 Oct 2014","46","143.46","5637.168"
"USEP","01 Oct 2014","47","135.57","5509.235"
"USEP","01 Oct 2014","48","119.42","5366.134"
"USEP","02 Oct 2014","1","150.47","5224.374"
"USEP","02 Oct 2014","2","141.23","5116.048"
"USEP","02 Oct 2014","3","139.16","5032.741"
"USEP","02 Oct 2014","4","137.10","4966.536"
"USEP","02 Oct 2014","5","131.05","4912.601"
"USEP","02 Oct 2014","6","122.03","4867.320"
"USEP","02 Oct 2014","7","121.31","4831.118"
"USEP","02 Oct 2014","8","120.98","4802.367"
"USEP","02 Oct 2014","9","117.49","4791.985"
"USEP","02 Oct 2014","10","121.29","4809.275"
"USEP","02 Oct 2014","11","121.87","4869.606"
"USEP","02 Oct 2014","12","137.07","4992.976"
"USEP","02 Oct 2014","13","141.22","5151.529"
"USEP","02 Oct 2014","14","142.15","5275.759"
