"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Sep 2014","1","184.79","5033.179"
"USEP","01 Sep 2014","2","154.79","4922.442"
"USEP","01 Sep 2014","3","147.40","4831.019"
"USEP","01 Sep 2014","4","147.18","4753.835"
"USEP","01 Sep 2014","5","145.38","4698.554"
"USEP","01 Sep 2014","6","131.08","4659.141"
"USEP","01 Sep 2014","7","125.11","4629.515"
"USEP","01 Sep 2014","8","123.14","4611.936"
"USEP","01 Sep 2014","9","123.14","4608.065"
"USEP","01 Sep 2014","10","123.14","4627.945"
"USEP","01 Sep 2014","11","129.07","4689.762"
"USEP","01 Sep 2014","12","146.18","4812.043"
"USEP","01 Sep 2014","13","149.78","4971.516"
"USEP","01 Sep 2014","14","170.57","5136.550"
"USEP","01 Sep 2014","15","128.23","5349.792"
"USEP","01 Sep 2014","16","147.41","5657.699"
"USEP","01 Sep 2014","17","147.48","5958.667"
"USEP","01 Sep 2014","18","147.49","6182.561"
"USEP","01 Sep 2014","19","162.55","6319.648"
"USEP","01 Sep 2014","20","182.33","6417.125"
"USEP","01 Sep 2014","21","198.29","6493.514"
"USEP","01 Sep 2014","22","241.08","6543.318"
"USEP","01 Sep 2014","23","241.09","6548.735"
"USEP","01 Sep 2014","24","197.77","6506.297"
"USEP","01 Sep 2014","25","185.27","6459.748"
"USEP","01 Sep 2014","26","184.43","6461.741"
"USEP","01 Sep 2014","27","192.64","6507.554"
"USEP","01 Sep 2014","28","197.93","6547.105"
"USEP","01 Sep 2014","29","193.79","6547.115"
"USEP","01 Sep 2014","30","190.64","6521.440"
"USEP","01 Sep 2014","31","190.64","6508.613"
"USEP","01 Sep 2014","32","192.68","6522.022"
"USEP","01 Sep 2014","33","192.65","6511.982"
"USEP","01 Sep 2014","34","183.59","6473.818"
"USEP","01 Sep 2014","35","153.30","6394.019"
"USEP","01 Sep 2014","36","146.76","6267.667"
"USEP","01 Sep 2014","37","127.61","6179.246"
"USEP","01 Sep 2014","38","127.61","6185.632"
"USEP","01 Sep 2014","39","146.50","6184.633"
"USEP","01 Sep 2014","40","127.65","6139.550"
"USEP","01 Sep 2014","41","127.54","6098.289"
"USEP","01 Sep 2014","42","151.14","6048.415"
"USEP","01 Sep 2014","43","147.67","5980.297"
"USEP","01 Sep 2014","44","147.58","5862.011"
"USEP","01 Sep 2014","45","147.58","5727.855"
"USEP","01 Sep 2014","46","152.12","5603.605"
"USEP","01 Sep 2014","47","147.52","5480.086"
"USEP","01 Sep 2014","48","125.49","5348.709"
"USEP","02 Sep 2014","1","158.34","5221.030"
"USEP","02 Sep 2014","2","147.46","5116.267"
"USEP","02 Sep 2014","3","147.44","5046.876"
"USEP","02 Sep 2014","4","146.31","4973.544"
"USEP","02 Sep 2014","5","135.98","4914.893"
"USEP","02 Sep 2014","6","127.41","4868.513"
"USEP","02 Sep 2014","7","128.01","4829.911"
"USEP","02 Sep 2014","8","125.24","4807.734"
"USEP","02 Sep 2014","9","124.80","4799.181"
"USEP","02 Sep 2014","10","125.28","4813.013"
"USEP","02 Sep 2014","11","136.15","4870.481"
"USEP","02 Sep 2014","12","136.17","4984.517"
"USEP","02 Sep 2014","13","146.39","5129.910"
"USEP","02 Sep 2014","14","147.49","5268.573"
"USEP","02 Sep 2014","15","129.67","5454.744"
"USEP","02 Sep 2014","16","147.44","5742.283"
"USEP","02 Sep 2014","17","147.57","6034.967"
"USEP","02 Sep 2014","18","147.52","6240.466"
"USEP","02 Sep 2014","19","159.10","6376.177"
"USEP","02 Sep 2014","20","182.30","6466.631"
"USEP","02 Sep 2014","21","283.08","6545.177"
"USEP","02 Sep 2014","22","332.18","6595.558"
"USEP","02 Sep 2014","23","332.22","6592.263"
"USEP","02 Sep 2014","24","254.31","6540.709"
"USEP","02 Sep 2014","25","214.63","6492.967"
"USEP","02 Sep 2014","26","223.49","6522.176"
"USEP","02 Sep 2014","27","326.90","6581.289"
"USEP","02 Sep 2014","28","346.59","6623.345"
"USEP","02 Sep 2014","29","383.19","6631.267"
"USEP","02 Sep 2014","30","333.59","6617.118"
"USEP","02 Sep 2014","31","330.49","6601.775"
"USEP","02 Sep 2014","32","305.29","6599.767"
"USEP","02 Sep 2014","33","294.61","6588.302"
"USEP","02 Sep 2014","34","232.96","6557.831"
"USEP","02 Sep 2014","35","175.92","6474.240"
"USEP","02 Sep 2014","36","150.09","6340.726"
"USEP","02 Sep 2014","37","125.61","6250.267"
